accounting_date,fiscal_year,fiscal_month,calendar_year,calendar_month,calendar_day,company_code,customer_code,customer_district_code,item_code,business_area_code,item_group_code,item_class_code,item_type,bonus_group_code,environment_group_code,technology_group_code,commission_group_code,reporting_classification,light_source,warehouse_code,abc_class_code,abc_class_volume,business_chain_l1_code,business_chain_l1_name,contact_method_code,salesperson_code,order_type_code,market_segment,value_sales,value_cost,value_quantity,value_price_adjustment,currency,item_source_class,invoice_number,line_number,invoice_date,customer_order_number,order_date,dss_update_time
20120117,2012,7,2012,1,17,101,CUST_000008,400,ITEM_000002,LMP                           ,LMP01008                      ,LMP01                         ,5,Trade          ,S                             ,SYLV                                    ,NET_SALES                     ,Discontinuing,Traditional,Q0 ,J,J,MED,Metro Electrical Distributors,NA                            ,SP_000006,NOR,Commercial & Industrial,19.14,12.7284,6,0,AUD,,INV_000011,LINE_000001,20120117,ORD_000011,20120117,49:58.7
20120420,2012,10,2012,4,20,101,CUST_000009,200,ITEM_000004,FLD                           ,FLD03002                      ,FLD03                         ,1,Professional   ,S                             ,SYLV                                    ,NET_SALES                     ,Discontinuing,Traditional,N0 ,J,J,AEG,Aussie Energy Group,NA                            ,SP_000007,NOR,Commercial & Industrial,3992.0,2098.76,4,0,AUD,,INV_000012,LINE_000002,20120420,ORD_000012,20120329,49:58.7
20120423,2012,10,2012,4,23,101,CUST_000010,300,ITEM_000002,LMP                           ,LMP01008                      ,LMP01                         ,5,Trade          ,S                             ,SYLV                                    ,NET_SALES                     ,Discontinuing,Traditional,V0 ,J,J,BPS,BrightPower Solutions,NA                            ,SP_000008,NOR,Commercial & Industrial,40.2,25.4568,12,0,AUD,,INV_000013,LINE_000001,20120423,ORD_000013,20120423,49:58.7
20120125,2012,7,2012,1,25,101,CUST_000010,300,ITEM_000002,LMP                           ,LMP01008                      ,LMP01                         ,5,Trade          ,S                             ,SYLV                                    ,NET_SALES                     ,Discontinuing,Traditional,V0 ,J,J,BPS,BrightPower Solutions,NA                            ,SP_000008,NOR,Commercial & Industrial,38.28,25.4568,12,0,AUD,,INV_000014,LINE_000001,20120125,ORD_000014,20120125,49:58.7
20120427,2012,10,2012,4,27,101,CUST_000011,300,ITEM_000002,LMP                           ,LMP01008                      ,LMP01                         ,5,Trade          ,S                             ,SYLV                                    ,NET_SALES                     ,Discontinuing,Traditional,V0 ,J,J,BPS,BrightPower Solutions,NA                            ,SP_000004,NOR,Commercial & Industrial,1222.08,814.6176,384,0,AUD,,INV_000015,LINE_000001,20120427,ORD_000015,20120427,49:58.7
20120319,2012,9,2012,3,19,101,CUST_000012,200,ITEM_000005,LMP                           ,LMP01008                      ,LMP01                         ,5,Trade          ,S                             ,SYLV                                    ,NET_SALES                     ,Discontinuing,Traditional,N0 ,J,J,MED,Metro Electrical Distributors,NA                            ,SP_000009,NOR,Commercial & Industrial,40.2,25.4568,12,0,AUD,,INV_000016,LINE_000001,20120319,ORD_000016,20120319,49:58.7
20120227,2012,8,2012,2,27,101,CUST_000013,300,ITEM_000006,LMP                           ,LMP01008                      ,LMP01                         ,5,Trade          ,S                             ,SYLV                                    ,NET_SALES                     ,Discontinuing,Traditional,V0 ,J,J,BPS,BrightPower Solutions,NA                            ,SP_000002,NOR,Commercial & Industrial,19.14,12.7284,6,0,AUD,,INV_000017,LINE_000001,20120227,ORD_000017,20120227,49:58.7
20120521,2012,11,2012,5,21,101,CUST_000014,300,ITEM_000006,LMP                           ,LMP01008                      ,LMP01                         ,5,Trade          ,S                             ,SYLV                                    ,NET_SALES                     ,Discontinuing,Traditional,V0 ,J,J,BPS,BrightPower Solutions,NA                            ,SP_000004,NOR,Commercial & Industrial,80.4,50.9136,24,0,AUD,,INV_000018,LINE_000001,20120521,ORD_000018,20120521,49:58.7
20120123,2012,7,2012,1,23,101,CUST_000013,300,ITEM_000007,LMP                           ,LMP01008                      ,LMP01                         ,5,Trade          ,S                             ,SYLV                                    ,NET_SALES                     ,Discontinuing,Traditional,V0 ,J,J,BPS,BrightPower Solutions,NA                            ,SP_000002,NOR,Commercial & Industrial,38.28,25.4568,12,0,AUD,,INV_000019,LINE_000001,20120123,ORD_000019,20120123,49:58.7
20120111,2012,7,2012,1,11,101,CUST_000014,300,ITEM_000007,LMP                           ,LMP01008                      ,LMP01                         ,5,Trade          ,S                             ,SYLV                                    ,NET_SALES                     ,Discontinuing,Traditional,V0 ,J,J,BPS,BrightPower Solutions,NA                            ,SP_000004,NOR,Commercial & Industrial,19.14,12.7284,6,0,AUD,,INV_000020,LINE_000001,20120111,ORD_000020,20120110,49:58.7
20120508,2012,11,2012,5,8,101,CUST_000014,300,ITEM_000007,LMP                           ,LMP01008                      ,LMP01                         ,5,Trade          ,S                             ,SYLV                                    ,NET_SALES                     ,Discontinuing,Traditional,V0 ,J,J,BPS,BrightPower Solutions,NA                            ,SP_000004,NOR,Commercial & Industrial,18.9,12.7284,6,0,AUD,,INV_000021,LINE_000001,20120508,ORD_000021,20120507,49:58.7
20120210,2012,8,2012,2,10,101,CUST_000013,300,ITEM_000007,LMP                           ,LMP01008                      ,LMP01                         ,5,Trade          ,S                             ,SYLV                                    ,NET_SALES                     ,Discontinuing,Traditional,V0 ,J,J,BPS,BrightPower Solutions,NA                            ,SP_000002,NOR,Commercial & Industrial,38.28,25.4568,12,0,AUD,,INV_000022,LINE_000001,20120210,ORD_000022,20120210,49:58.7
20120123,2012,7,2012,1,23,101,CUST_000015,300,ITEM_000007,LMP                           ,LMP01008                      ,LMP01                         ,5,Trade          ,S                             ,SYLV                                    ,NET_SALES                     ,Discontinuing,Traditional,V0 ,J,J,BPS,BrightPower Solutions,NA                            ,SP_000008,NOR,Commercial & Industrial,114.84,76.3704,36,0,AUD,,INV_000023,LINE_000001,20120123,ORD_000023,20120120,49:58.7
20120522,2012,11,2012,5,22,101,CUST_000002,300,ITEM_000007,LMP                           ,LMP01008                      ,LMP01                         ,5,Trade          ,S                             ,SYLV                                    ,NET_SALES                     ,Discontinuing,Traditional,V0 ,J,J,BPS,BrightPower Solutions,NA                            ,SP_000002,NOR,Commercial & Industrial,40.2,25.4568,12,0,AUD,,INV_000024,LINE_000002,20120522,ORD_000024,20120521,49:58.7
20120109,2012,7,2012,1,9,101,CUST_000010,300,ITEM_000007,LMP                           ,LMP01008                      ,LMP01                         ,5,Trade          ,S                             ,SYLV                                    ,NET_SALES                     ,Discontinuing,Traditional,V0 ,J,J,BPS,BrightPower Solutions,NA                            ,SP_000008,NOR,Commercial & Industrial,38.28,25.4568,12,0,AUD,,INV_000025,LINE_000001,20120109,ORD_000025,20120109,49:58.7
20120130,2012,7,2012,1,30,101,CUST_000016,300,ITEM_000007,LMP                           ,LMP01008                      ,LMP01                         ,5,Trade          ,S                             ,SYLV                                    ,NET_SALES                     ,Discontinuing,Traditional,V0 ,J,J,BPS,BrightPower Solutions,NA                            ,SP_000008,NOR,Commercial & Industrial,31.9,21.214,10,0,AUD,,INV_000026,LINE_000001,20120130,ORD_000026,20120130,49:58.7
20120619,2012,12,2012,6,19,101,CUST_000017,200,ITEM_000008,LMP                           ,LMP01008                      ,LMP01                         ,5,Trade          ,S                             ,SYLV                                    ,NET_SALES                     ,Discontinuing,Traditional,N0 ,J,J,MED,Metro Electrical Distributors,NA                            ,SP_000010,EDI,Commercial & Industrial,536.0,339.424,160,0,AUD,,INV_000027,LINE_000001,20120619,ORD_000027,20120619,49:58.7
20120615,2012,12,2012,6,15,101,CUST_000017,200,ITEM_000008,LMP                           ,LMP01008                      ,LMP01                         ,5,Trade          ,S                             ,SYLV                                    ,NET_SALES                     ,Discontinuing,Traditional,N0 ,J,J,MED,Metro Electrical Distributors,NA                            ,SP_000010,EDI,Commercial & Industrial,80.4,50.9136,24,0,AUD,,INV_000028,LINE_000001,20120615,ORD_000028,20120614,49:58.7
20120621,2012,12,2012,6,21,101,CUST_000018,200,ITEM_000008,LMP                           ,LMP01008                      ,LMP01                         ,5,Trade          ,S                             ,SYLV                                    ,NET_SALES                     ,Discontinuing,Traditional,N0 ,J,J,AEG,Aussie Energy Group,NA                            ,SP_000010,NOR,Commercial & Industrial,80.4,50.9136,24,0,AUD,,INV_000029,LINE_000001,20120621,ORD_000029,20120621,49:58.7
20120206,2012,8,2012,2,6,101,CUST_000018,200,ITEM_000008,LMP                           ,LMP01008                      ,LMP01                         ,5,Trade          ,S                             ,SYLV                                    ,NET_SALES                     ,Discontinuing,Traditional,N0 ,J,J,AEG,Aussie Energy Group,NA                            ,SP_000010,NOR,Commercial & Industrial,287.1,190.926,90,0,AUD,,INV_000030,LINE_000001,20120206,ORD_000030,20120206,49:58.7
20120214,2012,8,2012,2,14,101,CUST_000019,200,ITEM_000008,LMP                           ,LMP01008                      ,LMP01                         ,5,Trade          ,S                             ,SYLV                                    ,NET_SALES                     ,Discontinuing,Traditional,N0 ,J,J,MED,Metro Electrical Distributors,NA                            ,SP_000011,EDI,Commercial & Industrial,19.14,12.7284,6,0,AUD,,INV_000031,LINE_000001,20120214,ORD_000031,20120214,49:58.7
20120208,2012,8,2012,2,8,101,CUST_000019,200,ITEM_000008,LMP                           ,LMP01008                      ,LMP01                         ,5,Trade          ,S                             ,SYLV                                    ,NET_SALES                     ,Discontinuing,Traditional,N0 ,J,J,MED,Metro Electrical Distributors,NA                            ,SP_000011,EDI,Commercial & Industrial,38.28,25.4568,12,0,AUD,,INV_000032,LINE_000001,20120208,ORD_000032,20120207,49:58.7
20120206,2012,8,2012,2,6,101,CUST_000020,300,ITEM_000008,LMP                           ,LMP01008                      ,LMP01                         ,5,Trade          ,S                             ,SYLV                                    ,NET_SALES                     ,Discontinuing,Traditional,V0 ,J,J,MED,Metro Electrical Distributors,NA                            ,SP_000005,NOR,Commercial & Industrial,57.42,38.1852,18,0,AUD,,INV_000033,LINE_000002,20120206,ORD_000033,20120203,49:58.7
20120521,2012,11,2012,5,21,101,CUST_000012,200,ITEM_000009,LMP                           ,LMP01008                      ,LMP01                         ,5,Trade          ,S                             ,SYLV                                    ,NET_SALES                     ,Discontinuing,Traditional,N0 ,J,J,MED,Metro Electrical Distributors,NA                            ,SP_000009,NOR,Commercial & Industrial,20.1,12.7284,6,0,AUD,,INV_000034,LINE_000001,20120521,ORD_000034,20120521,49:58.7
20120208,2012,8,2012,2,8,101,CUST_000021,200,ITEM_000009,LMP                           ,LMP01008                      ,LMP01                         ,5,Trade          ,S                             ,SYLV                                    ,NET_SALES                     ,Discontinuing,Traditional,N0 ,J,J,MED,Metro Electrical Distributors,NA                            ,SP_000012,NOR,Commercial & Industrial,31.9,21.214,10,0,AUD,,INV_000035,LINE_000001,20120208,ORD_000035,20120208,49:58.7
20120120,2012,7,2012,1,20,101,CUST_000002,300,ITEM_000009,LMP                           ,LMP01008                      ,LMP01                         ,5,Trade          ,S                             ,SYLV                                    ,NET_SALES                     ,Discontinuing,Traditional,V0 ,J,J,BPS,BrightPower Solutions,NA                            ,SP_000002,NOR,Commercial & Industrial,19.14,12.7284,6,0,AUD,,INV_000036,LINE_000001,20120120,ORD_000036,20120119,49:58.7
20120202,2012,8,2012,2,2,101,CUST_000022,300,ITEM_000009,LMP                           ,LMP01008                      ,LMP01                         ,5,Trade          ,S                             ,SYLV                                    ,NET_SALES                     ,Discontinuing,Traditional,V0 ,J,J,BPS,BrightPower Solutions,NA                            ,SP_000008,NOR,Commercial & Industrial,38.28,25.4568,12,0,AUD,,INV_000037,LINE_000001,20120202,ORD_000037,20120201,49:58.7
20120503,2012,11,2012,5,3,101,CUST_000016,300,ITEM_000009,LMP                           ,LMP01008                      ,LMP01                         ,5,Trade          ,S                             ,SYLV                                    ,NET_SALES                     ,Discontinuing,Traditional,V0 ,J,J,BPS,BrightPower Solutions,NA                            ,SP_000008,NOR,Commercial & Industrial,18.9,12.7284,6,0,AUD,,INV_000038,LINE_000003,20120503,ORD_000038,20120502,49:58.7
20120221,2012,8,2012,2,21,101,CUST_000018,200,ITEM_000009,LMP                           ,LMP01008                      ,LMP01                         ,5,Trade          ,S                             ,SYLV                                    ,NET_SALES                     ,Discontinuing,Traditional,N0 ,J,J,AEG,Aussie Energy Group,NA                            ,SP_000010,NOR,Commercial & Industrial,95.7,63.642,30,0,AUD,,INV_000039,LINE_000001,20120221,ORD_000039,20120221,49:58.7
20120523,2012,11,2012,5,23,101,CUST_000019,200,ITEM_000009,LMP                           ,LMP01008                      ,LMP01                         ,5,Trade          ,S                             ,SYLV                                    ,NET_SALES                     ,Discontinuing,Traditional,N0 ,J,J,MED,Metro Electrical Distributors,NA                            ,SP_000011,EDI,Commercial & Industrial,20.1,12.7284,6,0,AUD,,INV_000040,LINE_000001,20120523,ORD_000040,20120523,49:58.7
20120221,2012,8,2012,2,21,101,CUST_000018,200,ITEM_000005,LMP                           ,LMP01008                      ,LMP01                         ,5,Trade          ,S                             ,SYLV                                    ,NET_SALES                     ,Discontinuing,Traditional,N0 ,J,J,AEG,Aussie Energy Group,NA                            ,SP_000010,NOR,Commercial & Industrial,57.42,38.1852,18,0,AUD,,INV_000039,LINE_000001,20120221,ORD_000039,20120221,49:58.7
20120306,2012,9,2012,3,6,101,CUST_000018,200,ITEM_000005,LMP                           ,LMP01008                      ,LMP01                         ,5,Trade          ,S                             ,SYLV                                    ,NET_SALES                     ,Discontinuing,Traditional,N0 ,J,J,AEG,Aussie Energy Group,NA                            ,SP_000010,NOR,Commercial & Industrial,120.6,76.3704,36,0,AUD,,INV_000041,LINE_000001,20120306,ORD_000041,20120306,49:58.7
20120621,2012,12,2012,6,21,101,CUST_000018,200,ITEM_000005,LMP                           ,LMP01008                      ,LMP01                         ,5,Trade          ,S                             ,SYLV                                    ,NET_SALES                     ,Discontinuing,Traditional,N0 ,J,J,AEG,Aussie Energy Group,NA                            ,SP_000010,NOR,Commercial & Industrial,120.6,76.3704,36,0,AUD,,INV_000029,LINE_000001,20120621,ORD_000029,20120621,49:58.7
20120119,2012,7,2012,1,19,101,CUST_000018,200,ITEM_000005,LMP                           ,LMP01008                      ,LMP01                         ,5,Trade          ,S                             ,SYLV                                    ,NET_SALES                     ,Discontinuing,Traditional,N0 ,J,J,AEG,Aussie Energy Group,NA                            ,SP_000010,NOR,Commercial & Industrial,76.56,50.9136,24,0,AUD,,INV_000042,LINE_000001,20120119,ORD_000042,20120119,49:58.7
20120208,2012,8,2012,2,8,101,CUST_000018,200,ITEM_000005,LMP                           ,LMP01008                      ,LMP01                         ,5,Trade          ,S                             ,SYLV                                    ,NET_SALES                     ,Discontinuing,Traditional,N0 ,J,J,AEG,Aussie Energy Group,NA                            ,SP_000010,NOR,Commercial & Industrial,19.14,12.7284,6,0,AUD,,INV_000043,LINE_000001,20120208,ORD_000043,20120208,49:58.7
20120228,2012,8,2012,2,28,101,CUST_000018,200,ITEM_000005,LMP                           ,LMP01008                      ,LMP01                         ,5,Trade          ,S                             ,SYLV                                    ,NET_SALES                     ,Discontinuing,Traditional,N0 ,J,J,AEG,Aussie Energy Group,NA                            ,SP_000010,NOR,Commercial & Industrial,57.42,38.1852,18,0,AUD,,INV_000044,LINE_000001,20120228,ORD_000044,20120228,49:58.7
20120228,2012,8,2012,2,28,101,CUST_000018,200,ITEM_000005,LMP                           ,LMP01008                      ,LMP01                         ,5,Trade          ,S                             ,SYLV                                    ,NET_SALES                     ,Discontinuing,Traditional,N0 ,J,J,AEG,Aussie Energy Group,NA                            ,SP_000010,NOR,Commercial & Industrial,19.14,12.7284,6,0,AUD,,INV_000045,LINE_000002,20120228,ORD_000044,20120228,49:58.7
20120503,2012,11,2012,5,3,101,CUST_000011,300,ITEM_000002,LMP                           ,LMP01008                      ,LMP01                         ,5,Trade          ,S                             ,SYLV                                    ,NET_SALES                     ,Discontinuing,Traditional,V0 ,J,J,BPS,BrightPower Solutions,NA                            ,SP_000004,NOR,Commercial & Industrial,439.18,292.7532,138,0,AUD,,INV_000046,LINE_000003,20120503,ORD_000015,20120427,49:58.7
20120307,2012,9,2012,3,7,101,CUST_000023,300,ITEM_000004,FLD                           ,FLD03002                      ,FLD03                         ,1,Professional   ,S                             ,SYLV                                    ,NET_SALES                     ,Discontinuing,Traditional,V0 ,J,J,MED,Metro Electrical Distributors,NA                            ,SP_000013,PRO,Commercial & Industrial,3840.0,2098.76,4,0,AUD,,INV_000047,LINE_000001,20120307,ORD_000045,20120307,49:58.7
20120427,2012,10,2012,4,27,101,CUST_000004,300,ITEM_000002,LMP                           ,LMP01008                      ,LMP01                         ,5,Trade          ,S                             ,SYLV                                    ,NET_SALES                     ,Discontinuing,Traditional,V0 ,J,J,BPS,BrightPower Solutions,NA                            ,SP_000004,NOR,Commercial & Industrial,20.1,12.7284,6,0,AUD,,INV_000048,LINE_000001,20120427,ORD_000046,20120427,49:58.7
20120504,2012,11,2012,5,4,101,CUST_000020,300,ITEM_000002,LMP                           ,LMP01008                      ,LMP01                         ,5,Trade          ,S                             ,SYLV                                    ,NET_SALES                     ,Discontinuing,Traditional,V0 ,J,J,MED,Metro Electrical Distributors,NA                            ,SP_000005,NOR,Commercial & Industrial,20.1,12.7284,6,0,AUD,,INV_000049,LINE_000001,20120504,ORD_000047,20120504,49:58.7
20120131,2012,7,2012,1,31,101,CUST_000020,300,ITEM_000002,LMP                           ,LMP01008                      ,LMP01                         ,5,Trade          ,S                             ,SYLV                                    ,NET_SALES                     ,Discontinuing,Traditional,V0 ,J,J,MED,Metro Electrical Distributors,NA                            ,SP_000005,NOR,Commercial & Industrial,19.14,12.7284,6,0,AUD,,INV_000050,LINE_000001,20120131,ORD_000048,20120131,49:58.7
20120224,2012,8,2012,2,24,101,CUST_000024,300,ITEM_000007,LMP                           ,LMP01008                      ,LMP01                         ,5,Trade          ,S                             ,SYLV                                    ,NET_SALES                     ,Discontinuing,Traditional,V0 ,J,J,MED,Metro Electrical Distributors,NA                            ,SP_000014,NOR,Commercial & Industrial,19.14,12.7284,6,0,AUD,,INV_000051,LINE_000001,20120224,ORD_000049,20120224,49:58.7
20120525,2012,11,2012,5,25,101,CUST_000020,300,ITEM_000007,LMP                           ,LMP01008                      ,LMP01                         ,5,Trade          ,S                             ,SYLV                                    ,NET_SALES                     ,Discontinuing,Traditional,V0 ,J,J,MED,Metro Electrical Distributors,NA                            ,SP_000005,NOR,Commercial & Industrial,20.1,12.7284,6,0,AUD,,INV_000052,LINE_000001,20120525,ORD_000050,20120525,49:58.7
20120203,2012,8,2012,2,3,101,CUST_000020,300,ITEM_000007,LMP                           ,LMP01008                      ,LMP01                         ,5,Trade          ,S                             ,SYLV                                    ,NET_SALES                     ,Discontinuing,Traditional,V0 ,J,J,MED,Metro Electrical Distributors,NA                            ,SP_000005,NOR,Commercial & Industrial,114.84,76.3704,36,0,AUD,,INV_000053,LINE_000001,20120203,ORD_000033,20120203,49:58.7
20120504,2012,11,2012,5,4,101,CUST_000020,300,ITEM_000007,LMP                           ,LMP01008                      ,LMP01                         ,5,Trade          ,S                             ,SYLV                                    ,NET_SALES                     ,Discontinuing,Traditional,V0 ,J,J,MED,Metro Electrical Distributors,NA                            ,SP_000005,NOR,Commercial & Industrial,40.2,25.4568,12,0,AUD,,INV_000049,LINE_000001,20120504,ORD_000047,20120504,49:58.7
20120604,2012,12,2012,6,4,101,CUST_000025,300,ITEM_000007,LMP                           ,LMP01008                      ,LMP01                         ,5,Trade          ,S                             ,SYLV                                    ,NET_SALES                     ,Discontinuing,Traditional,V0 ,J,J,MED,Metro Electrical Distributors,NA                            ,SP_000004,EDI,Commercial & Industrial,20.1,12.7284,6,0,AUD,,INV_000054,LINE_000001,20120604,ORD_000051,20120601,49:58.7
20120404,2012,10,2012,4,4,101,CUST_000026,300,ITEM_000007,LMP                           ,LMP01008                      ,LMP01                         ,5,Trade          ,S                             ,SYLV                                    ,NET_SALES                     ,Discontinuing,Traditional,V0 ,J,J,BPS,BrightPower Solutions,NA                            ,SP_000008,NOR,Commercial & Industrial,40.2,25.4568,12,0,AUD,,INV_000055,LINE_000001,20120404,ORD_000052,20120403,49:58.7
20120202,2012,8,2012,2,2,101,CUST_000027,300,ITEM_000007,LMP                           ,LMP01008                      ,LMP01                         ,5,Trade          ,S                             ,SYLV                                    ,NET_SALES                     ,Discontinuing,Traditional,V0 ,J,J,MED,Metro Electrical Distributors,NA                            ,SP_000004,NOS,Commercial & Industrial,159.5,106.07,50,0,AUD,,INV_000056,LINE_000001,20120202,ORD_000053,20120201,49:58.7
20120504,2012,11,2012,5,4,101,CUST_000020,300,ITEM_000008,LMP                           ,LMP01008                      ,LMP01                         ,5,Trade          ,S                             ,SYLV                                    ,NET_SALES                     ,Discontinuing,Traditional,V0 ,J,J,MED,Metro Electrical Distributors,NA                            ,SP_000005,NOR,Commercial & Industrial,60.3,38.1852,18,0,AUD,,INV_000049,LINE_000001,20120504,ORD_000047,20120504,49:58.7
20120419,2012,10,2012,4,19,101,CUST_000020,300,ITEM_000008,LMP                           ,LMP01008                      ,LMP01                         ,5,Trade          ,S                             ,SYLV                                    ,NET_SALES                     ,Discontinuing,Traditional,V0 ,J,J,MED,Metro Electrical Distributors,NA                            ,SP_000005,EDI,Commercial & Industrial,60.3,38.1852,18,0,AUD,,INV_000057,LINE_000001,20120419,ORD_000054,20120419,49:58.7
20120319,2012,9,2012,3,19,101,CUST_000020,300,ITEM_000008,LMP                           ,LMP01008                      ,LMP01                         ,5,Trade          ,S                             ,SYLV                                    ,NET_SALES                     ,Discontinuing,Traditional,V0 ,J,J,MED,Metro Electrical Distributors,NA                            ,SP_000005,EDI,Commercial & Industrial,20.1,12.7284,6,0,AUD,,INV_000058,LINE_000001,20120319,ORD_000055,20120319,49:58.7
20120124,2012,7,2012,1,24,101,CUST_000020,300,ITEM_000008,LMP                           ,LMP01008                      ,LMP01                         ,5,Trade          ,S                             ,SYLV                                    ,NET_SALES                     ,Discontinuing,Traditional,V0 ,J,J,MED,Metro Electrical Distributors,NA                            ,SP_000005,EDI,Commercial & Industrial,19.14,12.7284,6,0,AUD,,INV_000059,LINE_000001,20120124,ORD_000056,20120124,49:58.7
20120510,2012,11,2012,5,10,101,CUST_000028,200,ITEM_000008,LMP                           ,LMP01008                      ,LMP01                         ,5,Trade          ,S                             ,SYLV                                    ,NET_SALES                     ,Discontinuing,Traditional,N0 ,J,J,AEG,Aussie Energy Group,NA                            ,SP_000009,NOR,Commercial & Industrial,40.2,25.4568,12,0,AUD,,INV_000060,LINE_000001,20120510,ORD_000057,20120510,49:58.7
20120210,2012,8,2012,2,10,101,CUST_000029,200,ITEM_000008,LMP                           ,LMP01008                      ,LMP01                         ,5,Trade          ,S                             ,SYLV                                    ,NET_SALES                     ,Discontinuing,Traditional,N0 ,J,J,MED,Metro Electrical Distributors,NA                            ,SP_000011,EDI,Commercial & Industrial,19.14,12.7284,6,0,AUD,,INV_000061,LINE_000001,20120210,ORD_000058,20120210,49:58.7
